product,source,value,country,indicator
 -   ,DE,41.9137857265896,DK,Cropland
Food products,DE,426.969670670727,DK,Cropland
Hotels and restaurants,DE,23.5113065326882,DK,Cropland
Education and health,DE,28.106798402818,DK,Cropland
Food waste,DE,0.101894918145079,DK,Cropland
Agriculture,DK,5555.87217798532,DK,Cropland
 -   ,DK,481.392266053971,DK,Cropland
Food products,DK,4030.27078752244,DK,Cropland
Hotels and restaurants,DK,535.673589147471,DK,Cropland
Education and health,DK,572.19072579218,DK,Cropland
Food waste,DK,1.60246678814212,DK,Cropland
Agriculture,EE,40.6713604054097,DK,Cropland
 -   ,EE,8.16988303318929,DK,Cropland
Food products,EE,29.7251092368541,DK,Cropland
Hotels and restaurants,EE,3.8091982404512,DK,Cropland
Education and health,EE,5.14474305066203,DK,Cropland
Food waste,EE,0.0206228229980379,DK,Cropland
Agriculture,ES,105.059446475,DK,Cropland
 -   ,ES,45.1224768546536,DK,Cropland
Food products,ES,116.770788290577,DK,Cropland
Hotels and restaurants,ES,4.8536957513852,DK,Cropland
Education and health,ES,15.065320258167,DK,Cropland
Food waste,ES,0.0717047199894033,DK,Cropland
Agriculture,FI,6.79597717888382,DK,Cropland
 -   ,FI,10.9998737098789,DK,Cropland
Food products,FI,32.2424254841984,DK,Cropland
Hotels and restaurants,FI,1.50756790331461,DK,Cropland
Education and health,FI,3.56630107388605,DK,Cropland
Food waste,FI,0.0188147041535827,DK,Cropland
Agriculture,FR,42.6164970512321,DK,Cropland
 -   ,FR,46.1278120998346,DK,Cropland
Food products,FR,166.790192210341,DK,Cropland
Hotels and restaurants,FR,9.88459971669614,DK,Cropland
Education and health,FR,18.8382229586761,DK,Cropland
Food waste,FR,0.0953890899855392,DK,Cropland
Agriculture,GR,18.9614455784929,DK,Cropland
 -   ,GR,19.5376207988377,DK,Cropland
Food products,GR,44.3330002219213,DK,Cropland
Hotels and restaurants,GR,1.26242071236607,DK,Cropland
Education and health,GR,5.76391684346773,DK,Cropland
Food waste,GR,0.0315880676905746,DK,Cropland
Agriculture,HR,0.688449764310547,DK,Cropland
 -   ,HR,4.13334514444512,DK,Cropland
Food products,HR,4.0867574450248,DK,Cropland
Hotels and restaurants,HR,0.187166375237912,DK,Cropland
Education and health,HR,0.982832282843017,DK,Cropland
Food waste,HR,0.00931698331295122,DK,Cropland
Agriculture,HU,5.04711790186778,DK,Cropland
 -   ,HU,32.6402586788956,DK,Cropland
Food products,HU,63.340138531085,DK,Cropland
Hotels and restaurants,HU,2.45013409985651,DK,Cropland
Education and health,HU,9.52264067100124,DK,Cropland
Food waste,HU,0.0587251173227149,DK,Cropland
Agriculture,IE,0.871924592147235,DK,Cropland
 -   ,IE,4.00617119524178,DK,Cropland
Food products,IE,41.4894984002221,DK,Cropland
Hotels and restaurants,IE,2.10513609992346,DK,Cropland
Education and health,IE,2.88992975547662,DK,Cropland
Food waste,IE,0.00808740893187425,DK,Cropland
Agriculture,IT,26.4758844714303,DK,Cropland
 -   ,IT,18.5076603909233,DK,Cropland
Food products,IT,104.99222713349,DK,Cropland
Hotels and restaurants,IT,5.17718283516156,DK,Cropland
Education and health,IT,8.53572004172996,DK,Cropland
Food waste,IT,0.0351473274311731,DK,Cropland
Agriculture,LT,56.2691636250546,DK,Cropland
 -   ,LT,21.0134676911376,DK,Cropland
Food products,LT,63.4611051269481,DK,Cropland
Hotels and restaurants,LT,9.64133138491482,DK,Cropland
Education and health,LT,11.4072137333799,DK,Cropland
Food waste,LT,0.04835298017014,DK,Cropland
Agriculture,LU,0.311828839293761,DK,Cropland
 -   ,LU,2.61076087232098,DK,Cropland
Food products,LU,0.639563561947154,DK,Cropland
Hotels and restaurants,LU,0.120796559297994,DK,Cropland
Education and health,LU,0.871106286244086,DK,Cropland
Food waste,LU,0.00763793542479051,DK,Cropland
Agriculture,LV,45.1084733843141,DK,Cropland
 -   ,LV,13.9191030571768,DK,Cropland
Food products,LV,66.5883788849481,DK,Cropland
Hotels and restaurants,LV,5.83295982389503,DK,Cropland
Education and health,LV,8.38215327191391,DK,Cropland
Food waste,LV,0.0366547510703177,DK,Cropland
Agriculture,MT,0.302296150518691,DK,Cropland
 -   ,MT,0.0536604001122815,DK,Cropland
Food products,MT,0.0463487498096279,DK,Cropland
Hotels and restaurants,MT,0.00292314613368924,DK,Cropland
Education and health,MT,0.0170738430301959,DK,Cropland
Food waste,MT,8.47746141621021e-05,DK,Cropland
Agriculture,NL,56.8265081219419,DK,Cropland
 -   ,NL,5.33489707515364,DK,Cropland
Food products,NL,32.5029760845907,DK,Cropland
Hotels and restaurants,NL,1.32990640003785,DK,Cropland
Education and health,NL,2.36640862286634,DK,Cropland
Food waste,NL,0.0148368856149917,DK,Cropland
Agriculture,PL,52.9811976801757,DK,Cropland
 -   ,PL,29.9272202285652,DK,Cropland
Food products,PL,222.643234997825,DK,Cropland
Hotels and restaurants,PL,12.7417047617763,DK,Cropland
Education and health,PL,16.4075681591809,DK,Cropland
Food waste,PL,0.0593251877458935,DK,Cropland
Agriculture,PT,0.629226741973662,DK,Cropland
 -   ,PT,5.39937269141267,DK,Cropland
Food products,PT,9.47034143882975,DK,Cropland
Hotels and restaurants,PT,0.423658964971148,DK,Cropland
Education and health,PT,1.66734430761856,DK,Cropland
Food waste,PT,0.00769846873747818,DK,Cropland
Agriculture,RO,5.09468802869204,DK,Cropland
 -   ,RO,38.9410433519353,DK,Cropland
Food products,RO,46.6186027015438,DK,Cropland
Hotels and restaurants,RO,1.54926108397595,DK,Cropland
Education and health,RO,8.16678644939772,DK,Cropland
Food waste,RO,0.0694422133725191,DK,Cropland
Agriculture,SE,220.790199701301,DK,Cropland
 -   ,SE,34.453901237072,DK,Cropland
Food products,SE,231.506984450459,DK,Cropland
Hotels and restaurants,SE,16.7410620019697,DK,Cropland
Education and health,SE,23.0852300952281,DK,Cropland
Food waste,SE,0.0836897164211383,DK,Cropland
Agriculture,SI,0.0469132557423494,DK,Cropland
 -   ,SI,0.400128019007416,DK,Cropland
Food products,SI,0.931701196638268,DK,Cropland
Hotels and restaurants,SI,0.0545891038514947,DK,Cropland
Education and health,SI,0.132896849900392,DK,Cropland
Food waste,SI,0.000642200533849988,DK,Cropland
Agriculture,SK,3.63308027108141,DK,Cropland
 -   ,SK,11.4301069491003,DK,Cropland
Food products,SK,18.0396496681253,DK,Cropland
Hotels and restaurants,SK,0.856926203225106,DK,Cropland
Education and health,SK,2.5343835051038,DK,Cropland
Food waste,SK,0.0160289295912578,DK,Cropland
Agriculture,GB,14.1163655724337,DK,Cropland
 -   ,GB,14.2596483768691,DK,Cropland
Food products,GB,64.210947107525,DK,Cropland
Hotels and restaurants,GB,1.90559186844589,DK,Cropland
Education and health,GB,4.0852134106138,DK,Cropland
Food waste,GB,0.0220484716760004,DK,Cropland
Agriculture,US,33.2266372199646,DK,Cropland
 -   ,US,336.275069545203,DK,Cropland
Food products,US,427.351064908089,DK,Cropland
Hotels and restaurants,US,12.9793248551623,DK,Cropland
Education and health,US,61.3998252041584,DK,Cropland
Food waste,US,0.536903057872616,DK,Cropland
Agriculture,JP,8.67154667364094,DK,Cropland
 -   ,JP,2.35710152781452,DK,Cropland
Food products,JP,13.2417688681164,DK,Cropland
Hotels and restaurants,JP,1.18204559430504,DK,Cropland
Education and health,JP,1.6416937345862,DK,Cropland
Food waste,JP,0.00775023038596421,DK,Cropland
Agriculture,CN,10.3645780240815,DK,Cropland
 -   ,CN,259.123128208941,DK,Cropland
Food products,CN,61.1423056298943,DK,Cropland
Hotels and restaurants,CN,3.0535494834053,DK,Cropland
Education and health,CN,25.1443869268896,DK,Cropland
Food waste,CN,0.253248507708802,DK,Cropland
Agriculture,CA,6.61560370849617,DK,Cropland
 -   ,CA,90.85238590416,DK,Cropland
Food products,CA,141.456616064932,DK,Cropland
Hotels and restaurants,CA,4.24978459392682,DK,Cropland
Education and health,CA,20.2779836953048,DK,Cropland
Food waste,CA,0.164548148264348,DK,Cropland
Agriculture,KR,0.024412135271772,DK,Cropland
 -   ,KR,2.82003883122203,DK,Cropland
Food products,KR,0.734937301042289,DK,Cropland
Hotels and restaurants,KR,0.0645662689476489,DK,Cropland
Education and health,KR,0.647125756398479,DK,Cropland
Food waste,KR,0.00416510378603393,DK,Cropland
Agriculture,BR,27.6621487365932,DK,Cropland
 -   ,BR,408.087158585048,DK,Cropland
Food products,BR,141.338831168218,DK,Cropland
Hotels and restaurants,BR,4.29838480254547,DK,Cropland
Education and health,BR,26.825458376546,DK,Cropland
Food waste,BR,0.257419845258022,DK,Cropland
Agriculture,IN,28.0904222686261,DK,Cropland
 -   ,IN,230.69857249466,DK,Cropland
Food products,IN,94.7388218800214,DK,Cropland
Hotels and restaurants,IN,5.69908323417738,DK,Cropland
Education and health,IN,41.8661148482532,DK,Cropland
Food waste,IN,0.33525869900185,DK,Cropland
Agriculture,MX,32.2942315039058,DK,Cropland
 -   ,MX,8.43060643557847,DK,Cropland
Food products,MX,35.6537763032776,DK,Cropland
Hotels and restaurants,MX,0.535682282000844,DK,Cropland
Education and health,MX,2.064708323704,DK,Cropland
Food waste,MX,0.0137324384224328,DK,Cropland
Agriculture,RU,234.157592493199,DK,Cropland
 -   ,RU,411.444286469213,DK,Cropland
Food products,RU,480.307501070072,DK,Cropland
Hotels and restaurants,RU,50.8249003955554,DK,Cropland
Education and health,RU,117.627495096698,DK,Cropland
Food waste,RU,0.823334773852712,DK,Cropland
Agriculture,AU,14.4009148040592,DK,Cropland
 -   ,AU,196.484093309752,DK,Cropland
